"start","rel","end"
"technology","EMPOWER","user"
"technology","ENABLE_TO","application"
"information","FACILITATE","application"
"application","PROVIDE","purpose"
"technology","ENHANCE","requirement"
"information","SHARE_WITH","user"
"technology","BE_ARRANGE_TO_FACILITATE","application"
"application","FOR","user"
"information","ASSIST","user"
"technology","ENSURE","requirement"
"application","WITH","technology"
"technology","DESIGN_FOR_USE_BY","user"
"application","INTERACT_WITH","information"
"technology","BRING_CLARITY_THROUGHT","information"
"application","RELATE_TO","application"
"information","PLAY_A_CENTRAL_ROLE_IN","requirement"
"technology","PROVIDE_SUPPORT_FOR","user"
"technology","SATISFY","application"
"information","FROM","technology"
"technology","ALONG_WITH","requirement"
"information","ENHANCE","application"
"information","HELP","user"
"technology","FOR_THE_PURPOSE_OF","application"
"technology","MAKE_[_SOMETHING_]_AVAILABLE_TO","user"
"technology","COPE_WITH","requirement"
"technology","[_BE_]_BUILD_AROUND_A_SET_OF","technology"
"technology","PROVIDE","requirement"
"technology","PREVENT_UNAUTHORIZED_ACCESS_TO","technology"
"technology","PROVIDE_[_SOMEONE_]_WITH","application"
"technology","BE_ARRANGE_TO_FACILITATE","purpose"
"application","AFFECT","user"
"technology","GIVE","information"
"purpose","FOR","user"
"purpose","ENHANCE","requirement"
"information","TO","user"
"application","DETERMINES","purpose"
"technology","WITH","requirement"
"technology","IMPROVE","purpose"
"technology","TO_PROVIDE","purpose"
"information","BE_INTERRELATE_TO","requirement"
"technology","BE_INTEND_TO","requirement"
"application","USE_[_SOMEONE_/_SOMETHING_]_TO","purpose"
"requirement","DETERMINES","purpose"
"technology","BRING_CLARITY_TO","application"
"technology","ENABLE","user"
"technology","PROVIDE","user"
"approach","ASSUME_THAT","user"
"technology","ENABLE_TO_CONDUCT","application"
"application","USE","user"
"technology","PROVIDE_ACCESS_TO","information"
"information","ENHANCE","purpose"
"requirement","OF","user"
"requirement","FOR","information"
"application","REQUIRE","requirement"
"information","SUPPORT","application"
"requirement","TO_ASSIST","application"
"technology","FOR","purpose"
"technology","BE_CAPABLE_OF","application"
"application","ENHANCE","requirement"
"purpose","FOR","application"
"information","SATISFIE","requirement"
"requirement","FOR","application"
"technology","SUPPORT","purpose"
"technology","[_USE_]_FOR","application"
"information","FOR","application"
"technology","ENABLE","purpose"
"technology","PROVIDE","purpose"
"technology","ALLOWS","application"
"technology","BE_CAPABLE_OF_PROVIDE","requirement"
"technology","RELIEF","user"
"technology","SEEK_TO_WEAPONISE","information"
"approach","ORGANIZE_ALONG_[_BOUNDARY_AND_AREA_OF_]","requirement"
"information","BE_AFFECT_BY","requirement"
"information","SHARE_BY","user"
"technology","HELP","user"
"technology","FOR","user"
"information","BASE_UPON","application"
"information","AMONG","user"
"technology","USE_FOR","purpose"
"application","CONCERN","requirement"
"technology","ALONG_WITH","application"
"technology","USE","information"
"information","SATISFIE","purpose"
"purpose","ON","application"
"technology","IN","purpose"
"technology","S_PRIORITY_BE","information"
"approach","PUSH","technology"
"application","WITH","information"
"technology","MAKE_AVAILABLE","information"
"technology","BASE_ON","requirement"
"requirement","TO_DEPLOY","user"
"information","ENSURE","requirement"
"technology","CAN_FUSE","information"
"technology","FOR_SUPPORT","application"
"information","FROM","user"
"technology","SUPPORT","application"
"technology","[_USE_]_FOR","purpose"
"application","PROMOTE","purpose"
"technology","DURING","application"
"information","ABOUT","application"
"approach","PERMIT","application"
"technology","ENABLE_THE_EXCHANGE_OF","information"
"requirement","TO_SUSTAIN","user"
"requirement","OF","information"
"requirement","FOR","user"
"requirement","BE_GRANT_BY","technology"
"technology","PROVIDE","application"
"technology","ENABLE","application"
"technology","INCLUDE","technology"
"technology","DETERMINES","purpose"
"technology","ENABLE_THE_EXCHANGE_OF_[_SOMETHING_]_AMONG","user"
"technology","SOLVE_GAP_OF","application"
"requirement","TO_SHARE","information"
"requirement","OF","technology"
"application","BE_PROVIDE_BY","technology"
"technology","USE_IN","application"
"technology","IN_USE_BY","user"
"application","BY_INTEGRATE","information"
"application","FOR","purpose"
"information","PLAY_A_CENTRAL_ROLE_IN","purpose"
"technology","USE_BY","user"
